time,pos1,pos2,vel1,vel2,acc1,acc2,tau0,tau1
0,0,0,0,0,0,0,-0.79431,-0.524171
0.001,0.00000260209,-0.0000161882,0.00516841,-0.0322534,5.16841,-32.2534,-0.798232,-0.524692
0.002,0.0000102471,-0.0000642311,0.0100866,-0.0637123,4.91819,-31.4589,-0.80213,-0.525226
0.003,0.0000226876,-0.000143344,0.0147603,-0.0943949,4.6737,-30.6826,-0.806007,-0.525774
0.004,0.0000396818,-0.000252758,0.0191947,-0.124319,4.4344,-29.9241,-0.80986,-0.526334
0.005,0.0000609932,-0.000391725,0.0233954,-0.153502,4.2007,-29.183,-0.813692,-0.526906
0.006,0.0000863906,-0.000559512,0.0273676,-0.181961,3.9722,-28.459,-0.8175,-0.527491
0.007,0.000115648,-0.000755402,0.0311162,-0.209713,3.7486,-27.752,-0.821287,-0.528087
0.008,0.000148545,-0.000978698,0.0346465,-0.236773,3.5303,-27.06,-0.82505,-0.528694
0.009,0.000184864,-0.00122872,0.0379631,-0.263158,3.31660000000001,-26.385,-0.828792,-0.529311
0.01,0.000224396,-0.00150479,0.0410711,-0.288884,3.108,-25.7259999999999,-0.832511,-0.52994
0.011,0.000266933,-0.00180626,0.0439749,-0.313965,2.9038,-25.081,-0.836207,-0.530577
0.012,0.000312274,-0.0021325,0.0466793,-0.338416,2.7044,-24.451,-0.839881,-0.531225
0.013,0.000360222,-0.00248288,0.0491887,-0.362252,2.5094,-23.836,-0.843533,-0.531882
0.014,0.000410583,-0.0028568,0.0515075,-0.385487,2.31879999999999,-23.235,-0.847162,-0.532547
0.015,0.000463169,-0.00325365,0.05364,-0.408135,2.1325,-22.648,-0.850769,-0.533222
0.016,0.000517797,-0.00367287,0.0555904,-0.430209,1.9504,-22.074,-0.854354,-0.533904
0.017,0.000574286,-0.00411388,0.0573629,-0.451723,1.7725,-21.514,-0.857916,-0.534594
0.018,0.00063246,-0.00457613,0.0589614,-0.472689,1.5985,-20.9660000000001,-0.861456,-0.535292
0.019,0.000692148,-0.00505907,0.0603899,-0.493121,1.42850000000001,-20.4319999999999,-0.864973,-0.535996
0.02,0.00075318,-0.00556219,0.0616522,-0.51303,1.26229999999999,-19.909,-0.868468,-0.536708
0.021,0.000815394,-0.00608496,0.0627522,-0.532429,1.1,-19.399,-0.87194,-0.537426
0.022,0.000878628,-0.00662688,0.0636936,-0.551329,0.941400000000011,-18.9,-0.87539,-0.538151
0.023,0.000942725,-0.00718745,0.0644798,-0.569742,0.7862,-18.413,-0.878818,-0.538881
0.024,0.00100753,-0.0077662,0.0651146,-0.58768,0.63479999999999,-17.938,-0.882223,-0.539617
0.025,0.0010729,-0.00836265,0.0656013,-0.605153,0.486700000000006,-17.4730000000001,-0.885605,-0.540358
0.026,0.00113868,-0.00897635,0.0659434,-0.622172,0.342099999999999,-17.0189999999999,-0.888966,-0.541105
0.027,0.00120474,-0.00960684,0.0661441,-0.638747,0.200699999999998,-16.575,-0.892303,-0.541856
0.028,0.00127092,-0.0102537,0.0662067,-0.65489,0.0625999999999959,-16.143,-0.895618,-0.542612
0.029,0.0013371,-0.0109165,0.0661344,-0.670609,-0.0722999999999973,-15.719,-0.898911,-0.543372
0.03,0.00140314,-0.0115948,0.0659303,-0.685915,-0.204099999999999,-15.3060000000001,-0.902181,-0.544136
0.031,0.00146892,-0.0122882,0.0655975,-0.700818,-0.332799999999994,-14.903,-0.905429,-0.544904
0.032,0.00153429,-0.0129963,0.0651389,-0.715326,-0.458600000000003,-14.508,-0.908654,-0.545676
0.033,0.00159915,-0.0137187,0.0645575,-0.72945,-0.581399999999995,-14.124,-0.911856,-0.54645
0.034,0.00166336,-0.014455,0.0638561,-0.743197,-0.701400000000004,-13.7469999999999,-0.915036,-0.547228
0.035,0.00172682,-0.015205,0.0630375,-0.756577,-0.818600000000002,-13.38,-0.918193,-0.548008
